Postleitzahl,Ortsname,Anzahl Datensätze,Durchschnittsmiete in €,Durchschnittlicher Wohnraum in qm,Median Raumanzahl,Median Baujahr gerundet
 01067,Dresden,566,1237,86,3.0,2017
 01069,Dresden,175,702,61,2.0,1975
 01097,Dresden,290,836,69,2.0,1927
 01099,Dresden,318,714,61,2.0,1989
 01108,Dresden,46,638,50,2.0,1996
 01109,Dresden,60,800,68,2.0,1956
 01127,Dresden,142,690,66,2.0,1910
 01129,Dresden,124,647,64,2.0,1911
 01139,Dresden,175,618,61,2.0,1930
 01156,Dresden,55,839,79,2.0,1993
 01157,Dresden,224,603,60,2.0,1916
 01159,Dresden,483,652,61,2.0,1920
 01169,Dresden,254,482,52,2.0,1984
 01187,Dresden,259,738,58,2.0,1995
 01189,Dresden,71,666,59,2.0,1994
 01217,Dresden,106,561,51,2.0,1995
 01219,Dresden,217,644,58,2.0,1985
 01237,Dresden,184,713,68,2.5,1978
 01239,Dresden,165,500,54,2.0,1978
 01257,Dresden,121,579,62,2.0,1971
 01259,Dresden,105,633,65,2.0,1979
 01277,Dresden,228,685,64,2.0,1938
 01279,Dresden,164,657,62,2.0,1952
 01307,Dresden,250,701,63,2.0,1974
 01309,Dresden,382,986,81,3.0,1997
 01324,Dresden,79,1185,90,3.0,1901
 01326,Dresden,98,1194,93,2.75,1997
 01328,Dresden,57,436,46,2.0,1994
 01445,Radebeul,154,747,72,2.0,1930
 01454,"Radeberg, Wachau",76,509,57,2.0,1927
 01458,Ottendorf-Okrilla,7,483,48,1.0,1996
 01465,Dresden,12,742,67,2.25,1995
 01468,Moritzburg,11,784,77,2.0,1996
 01471,Radeburg,5,588,65,3.0,1996
 01477,Arnsdorf b. Dresden,8,483,49,1.5,1987
 01558,Großenhain,84,477,62,2.0,1974
 01561,"Großenhain, Ebersbach u.a.",10,558,78,3.0,1972
 01587,Riesa,156,447,61,2.0,1958
 01589,Riesa,226,415,59,2.0,1950
 01591,Riesa,128,453,62,3.0,1944
 01594,"Riesa, Stauchitz, Hirschstein",3,397,58,2.0,1990
 01609,"Gröditz, Wülknitz, Röderaue",4,548,80,3.0,1920
 01612,"Nünchritz, Glaubitz",61,407,53,2.0,1970
 01616,Strehla,14,403,58,2.0,1933
 01619,Zeithain,19,427,61,3.0,1982
 01623,Lommatzsch,17,461,70,2.0,1957
 01640,Coswig,102,583,62,2.0,1979
 01662,Meißen,466,473,59,2.0,1904
 01665,"Käbschütztal, Klipphausen, Diera-Zehren",30,630,75,3.0,1916
 01683,Nossen,32,481,61,2.25,1930
 01689,Weinböhla,46,524,57,2.0,1995
 01705,Freital,503,510,60,2.0,1920
 01723,Wilsdruff,34,565,62,2.0,1996
 01728,Bannewitz,42,638,64,2.0,1994
 01731,Kreischa,25,586,61,2.0,1880
 01734,Rabenau,14,484,59,2.0,1910
 01737,Tharandt u.a.,6,518,63,2.25,1900
 01738,Dorfhain,12,453,63,3.0,1960
 01744,Dippoldiswalde,30,551,68,3.0,1956
 01762,Hartmannsdorf-Reichenau,7,416,54,2.0,1976
 01768,Glashütte,23,453,61,2.5,1934
 01773,Altenberg,8,365,50,2.0,1980
 01774,Klingenberg,39,514,60,3.0,1986
 01776,Hermsdorf/Erzgeb.,1,252,38,1.0,1985
 01778,Altenberg,26,488,65,2.0,1973
 01796,"Pirna, Struppen, Dohma",403,552,65,3.0,1959
 01809,Heidenau,158,478,58,2.0,1936
 01814,Bad Schandau,8,489,65,2.25,1902
 01816,Bad Gottleuba-Berggießhübel,20,577,70,2.0,1993
 01819,Bahretal,7,473,54,2.0,1966
 01824,Königstein/Sächs.Schw.,7,413,56,3.0,1903
 01825,Liebstadt,2,578,76,2.5,1964
 01829,Wehlen,2,520,68,2.0,1906
 01833,"Stolpen, Dürrröhrsdorf-Dittersbach",16,444,58,2.0,1979
 01844,Neustadt i. Sa.,17,421,57,2.0,1984
 01847,Lohmen,1,450,53,2.0,1900
 01848,Hohnstein,3,481,74,3.0,1900
 01855,Sebnitz,89,412,58,2.0,1920
 01877,Bischofswerda u.a.,56,476,63,3.0,1929
 01896,Pulsnitz,29,545,66,2.0,1993
 01900,"Großröhrsdorf, Bretnig-Hauswalde",29,588,68,3.0,1977
 01904,Neukirch/Lausitz,3,518,64,2.0,1880
 01906,Burkau,1,870,142,3.0,1750
 01909,"Großharthau, Frankenthal",3,330,44,2.0,1970
 01917,Kamenz,203,486,61,3.0,1965
 01920,"Elstra, Oßling u.a.",22,477,66,3.0,1967
 01936,Königsbrück u.a.,42,454,57,2.0,1993
 01945,Ruhland,10,536,69,3.0,1976
 01968,Senftenberg,59,541,66,3.0,1965
 01979,Lauchhammer,68,423,59,2.0,1960
 01983,Großräschen,12,561,67,2.25,1955
 01987,Schwarzheide N.L.,21,442,58,3.0,1968
 01993,Schipkau,4,367,50,2.5,1963
 01994,Schipkau,5,524,71,2.0,1895
 01996,Senftenberg,4,412,53,2.0,1934
 01998,Schipkau,4,520,72,2.5,1994
 02625,Bautzen,530,459,63,2.0,1974
 02627,"Weißenberg, Hochkirch u.a.",9,437,58,2.0,1968
 02633,Göda,8,438,58,2.5,1987
 02681,Wilthen,10,498,71,3.0,1914
 02689,Sohland a. d. Spree,2,604,88,4.0,1931
 02692,"Doberschau-Gaußig, Großpostwitz, Obergurig",27,461,62,3.0,1980
 02694,"Großdubrau, Malschwitz",5,400,59,1.0,1920
 02699,Königswartha,6,505,67,2.5,1992
 02708,"Löbau, Kottmar u.a.",123,420,62,3.0,1970
 02727,Ebersbach-Neugersdorf,11,420,67,2.0,1905
 02730,Ebersbach-Neugersdorf,12,360,57,2.0,1986
 02733,Cunewalde,1,695,81,3.0,1995
 02736,"Beiersdorf, Oppach",1,280,36,2.0,1900
 02739,Kottmar,4,439,68,2.0,1978
 02747,Herrnhut,5,416,65,2.0,1973
 02748,Bernstadt a. d. Eigen,4,419,61,2.0,1995
 02763,Zittau u.a.,200,429,66,2.25,1910
 02779,Großschönau,18,438,59,2.0,1977
 02782,Seifhennersdorf,38,400,61,2.0,1929
 02785,Olbersdorf,28,425,62,2.25,1983
 02788,Zittau,8,371,59,2.0,1951
 02791,Oderwitz,6,477,67,2.0,1923
 02794,"Leutersdorf, Spitzkunnersdorf",3,406,65,2.0,1921
 02796,Jonsdorf,1,250,40,1.0,1987
 02797,Oybin,3,410,61,2.0,1963
 02799,Großschönau,4,473,73,3.0,1940
 02826,Görlitz,308,530,74,2.0,1900
 02827,Görlitz,134,394,56,3.0,1969
 02828,Görlitz,171,396,62,3.0,1982
 02829,"Markersdorf, Neißeaue u.a.",2,312,48,2.0,1976
 02894,"Reichenbach, Vierkirchen",29,440,64,3.0,1984
 02899,"Ostritz, Schönau-Berzdorf",5,367,56,2.0,1992
 02906,"Niesky, Hohendubrau u.a.",44,415,57,2.0,1980
 02923,"Hähnichen, Horka, Kodersdorf",2,475,85,2.75,1991
 02929,Rothenburg/O.L.,14,448,68,3.0,1980
 02943,"Weißwasser, Boxberg",144,429,58,3.0,1968
 02953,"Bad Muskau, Groß Düben, Gablenz",6,521,70,3.0,1996
 02956,Rietschen,5,518,56,2.0,2014
 02957,"Krauschwitz, Weißkeißel",10,353,53,3.0,1965
 02959,Schleife,2,372,54,2.5,1967
 02977,Hoyerswerda,170,392,55,3.0,1966
 02979,"Spreetal, Elsterheide",4,546,79,3.5,1957
 02991,Lauta,41,442,61,2.5,1964
 02994,Bernsdorf,67,410,59,2.0,1980
 02997,Wittichenau,18,484,59,2.5,1990
 02999,Lohsa,12,461,66,2.0,1975
 03042,Cottbus,116,505,61,3.0,1970
 03044,Cottbus,146,506,61,3.0,1987
 03046,Cottbus,182,701,77,3.0,1974
 03048,Cottbus,135,576,67,3.0,1978
 03050,Cottbus,103,491,60,2.0,1967
 03051,Cottbus,8,510,58,2.0,1996
 03053,Cottbus,3,1025,121,4.0,1996
 03054,Cottbus,7,389,46,1.0,1996
 03058,Neuhausen/Spree,2,594,96,3.5,1979
 03096,Burg/Spreewald u.a.,5,726,79,3.0,2018
 03099,Kolkwitz,11,450,59,3.0,1980
 03103,"Neu-Seeland, Neupetershain",5,406,69,2.0,1912
 03116,Drebkau,5,374,46,2.0,1955
 03119,Welzow,29,460,64,3.0,1986
 03130,"Spremberg, Tschernitz u.a.",51,498,66,2.5,1961
 03149,Forst/ Lausitz,90,486,68,3.0,1930
 03159,Döbern,3,346,57,2.0,1929
 03172,"Guben, Schenkendöbern",8,509,71,3.0,1946
 03185,Peitz,9,606,82,3.0,1981
 03197,Jänschwalde,11,432,66,3.0,1957
 03205,"Calau, Bronkow",57,400,54,2.0,1970
 03222,Lübbenau/ Spreewald,14,451,59,3.0,1961
 03226,Vetschau,4,481,63,1.5,1942
 03229,"Altdöbern, Luckaitztal",3,445,66,2.0,1960
 03238,Finsterwalde,59,455,59,2.5,1962
 03246,Crinitz,9,407,52,2.0,1966
 03249,Sonnewalde,7,486,57,2.0,1993
 03253,Doberlug-Kirchhain,46,406,56,2.0,1966
 04103,Leipzig,500,991,81,3.0,2014
 04105,Leipzig,309,1058,92,3.0,1905
 04107,Leipzig,241,1065,89,3.0,1996
 04109,Leipzig,429,1135,88,3.0,1984
 04129,Leipzig,213,733,69,2.0,1920
 04155,Leipzig,330,807,77,2.0,1902
 04157,Leipzig,641,957,87,3.0,1902
 04158,Leipzig,86,577,58,2.0,1996
 04159,Leipzig,480,767,76,2.25,1906
 04177,Leipzig,481,730,71,2.0,1910
 04178,Leipzig,120,635,70,2.0,1929
 04179,Leipzig,338,759,71,3.0,1937
 04205,Leipzig,365,475,62,3.0,1981
 04207,Leipzig,356,473,58,2.0,1984
 04209,Leipzig,305,481,63,3.0,1979
 04229,Leipzig,529,845,77,2.0,1912
 04249,Leipzig,88,554,59,2.0,1961
 04275,Leipzig,399,1019,85,3.0,1998
 04277,Leipzig,380,1028,83,3.0,2017
 04279,Leipzig,87,543,58,2.0,1937
 04288,Leipzig,47,638,66,2.0,1994
 04289,Leipzig,68,460,51,2.0,1968
 04299,Leipzig,294,771,73,2.0,1912
 04315,Leipzig,426,646,67,2.5,1905
 04316,Leipzig,54,566,61,2.0,1994
 04317,Leipzig,353,727,66,2.0,1920
 04318,Leipzig,314,604,66,2.5,1910
 04319,Leipzig,81,557,61,2.0,1929
 04328,Leipzig,73,542,61,2.0,1910
 04329,Leipzig,290,458,57,3.0,1989
 04347,Leipzig,294,552,62,2.0,1913
 04349,Leipzig,51,864,78,3.0,1910
 04356,Leipzig,12,636,67,2.0,1995
 04357,Leipzig,160,534,61,3.0,1976
 04416,Markkleeberg,170,693,68,2.0,1930
 04420,Markranstädt,96,558,64,2.0,1922
 04425,Taucha,59,596,63,2.0,1960
 04435,Schkeuditz,90,513,58,2.0,1988
 04442,Zwenkau,67,678,65,2.0,1963
 04451,Borsdorf,32,542,61,2.0,1995
 04463,Großpösna,10,634,73,2.0,1996
 04509,"Delitzsch, Krostitz u.a.",215,499,62,3.0,1982
 04519,Rackwitz,36,535,61,2.0,1997
 04523,"Pegau, Elstertrebnitz",17,457,62,3.0,1910
 04539,Groitzsch,16,400,55,3.0,1971
 04552,Borna,215,457,60,2.5,1977
 04564,Böhlen,81,520,62,3.0,1954
 04565,Regis-Breitingen,24,458,61,2.5,1940
 04567,Kitzscher,107,389,58,3.0,1968
 04571,Rötha,78,456,58,2.0,1955
 04575,"Neukieritzsch, Deutzen",88,416,56,2.0,1961
 04600,Altenburg,341,460,63,2.0,1924
 04603,"Nobitz, Göhren, Windischleuba",9,446,59,3.0,1975
 04610,Meuselwitz,54,460,63,3.0,1935
 04613,Lucka,19,398,56,2.0,1952
 04617,"Rositz, Starkenberg, Treben",26,423,59,2.25,1939
 04626,"Schmölln, Altkirchen, Nöbdenitz u.a.",23,415,61,3.0,1977
 04639,Gößnitz,10,386,58,2.0,1973
 04643,Geithain,34,465,60,2.5,1975
 04651,Bad Lausick,48,488,64,3.0,1988
